"Crop","State","Season","Area-2020-21","Area-2021-22","Area-2022-23","Area-2023-24","Area-2024-25","Production-2020-21","Production-2021-22","Production-2022-23","Production-2023-24","Production-2024-25","Yield-2020-21","Yield-2021-22","Yield-2022-23","Yield-2023-24","Yield-2024-25"
"Rice","Gujarat","Total","906630.00","892030.00","947300.00","968550.00","1014460.00","2145700.02","2101055.12","2396434.82","2406568.88","2444698.26","2367.00","2355.00","2530.00","2485.00","2410.00"
"Rice","Haryana","Kharif","1327200.00","1281000.00","1519650.00","1563450.00","1609209.00","4424884.80","4618005.00","5109063.30","5975505.90","6059605.23","3334.00","3605.00","3362.00","3822.00","3766.00"
"Rice","Haryana","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Haryana","Total","1327200.00","1281000.00","1519650.00","1563450.00","1609209.00","4424884.80","4618005.00","5109063.30","5975505.90","6059605.23","3334.00","3605.00","3362.00","3822.00","3766.00"
"Rice","Himachal Pradesh","Kharif","68455.00","66167.00","67299.00","69870.00","68280.00","140469.66","167534.84","130694.66","172858.38","142022.40","2052.00","2532.00","1942.00","2474.00","2080.00"
"Rice","Himachal Pradesh","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Himachal Pradesh","Total","68455.00","66167.00","67299.00","69870.00","68280.00","140469.66","167534.84","130694.66","172858.38","142022.40","2052.00","2532.00","1942.00","2474.00","2080.00"
"Rice","Jammu And Kashmir","Kharif","267580.00","268775.00","274467.00","258229.00","258229.00","581451.34","492933.35","604376.33","641026.12","640924.38","2173.00","1834.00","2202.00","2482.00","2482.00"
"Rice","Jammu And Kashmir","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Jammu And Kashmir","Total","267580.00","268775.00","274467.00","258229.00","258229.00","581451.34","492933.35","604376.33","641026.12","640924.38","2173.00","1834.00","2202.00","2482.00","2482.00"
"Rice","Jharkhand","Kharif","1411000.00","1445000.00","855084.00","1099567.00","1469193.00","2752861.00","2930460.00","1493831.75","1515533.20","2782651.54","1951.00","2028.00","1747.00","1378.00","1894.00"
"Rice","Jharkhand","Rabi","0.00","","","","","0.00","0.00","","","","0.00","","","",""
"Rice","Jharkhand","Total","1411000.00","1445000.00","855084.00","1099567.00","1469193.00","2752861.00","2930460.00","1493831.75","1515533.20","2782651.54","1951.00","2028.00","1747.00","1378.00","1894.00"
"Rice","Karnataka","Kharif","1038000.00","1008000.00","946000.00","849000.00","886000.00","3145140.00","3121776.00","3163424.00","2822925.00","3007970.00","3030.00","3097.00","3344.00","3325.00","3395.00"
"Rice","Karnataka","Rabi","359100.00","389900.00","92000.00","43000.00","41000.00","1146606.30","1196603.10","242236.00","115842.00","116522.00","3193.00","3069.00","2633.00","2694.00","2842.00"
"Rice","Karnataka","Summer","","","290000.00","61000.00","254000.00","","","874495.00","188673.00","824230.00","","","3016.00","3093.00","3245.00"
"Rice","Karnataka","Total","1397100.00","1397900.00","1328000.00","953000.00","1181000.00","4291746.30","4318379.10","4280155.00","3127440.00","3948722.00","3072.00","3089.00","3223.00","3282.00","3344.00"
"Rice","Kerala","Kharif","157402.13","150259.00","50460.00","44844.00","41428.00","469845.35","341688.96","137049.36","116280.49","109825.63","2985.00","2274.00","2716.00","2593.00","2651.00"
"Rice","Kerala","Rabi","47637.87","45476.00","71430.00","72110.00","68697.00","163921.92","145295.82","224933.07","195490.21","209182.37","3441.00","3195.00","3149.00","2711.00","3045.00"
"Rice","Kerala","Summer","","","69822.00","63327.00","66399.00","","","233903.70","186244.71","196939.43","","","3350.00","2941.00","2966.00"
"Rice","Kerala","Total","205040.00","195735.00","191712.00","180281.00","176524.00","633767.27","486984.79","595886.13","498015.41","515947.43","3091.00","2488.00","3108.00","2762.00","2923.00"
"Rice","Ladakh","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Ladakh","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Ladakh","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Lakshadweep","Kharif","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Lakshadweep","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Lakshadweep","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Rice","Madhya Pradesh","Kharif","2080000.00","2109000.00","3413800.00","3440220.00","3830000.00","4286880.00","4814847.00","7022187.00","7110934.74","8944965.00","2061.00","2283.00","2057.00","2067.00","2336.00"
"Rice","Madhya Pradesh","Rabi","37000.00","0.00","","","53000.00","126910.00","0.00","","","157622.00","3430.00","0.00","","","2974.00"
"Rice","Madhya Pradesh","Summer","","","","40000.00","2000.00","","","","128600.00","6280.00","","","","3215.00","3140.00"
"Rice","Madhya Pradesh","Total","2117000.00","2109000.00","3413800.00","3480220.00","3885000.00","4413790.00","4814847.00","7022187.00","7239534.74","9108867.00","2085.00","2283.00","2057.00","2080.00","2345.00"
"Rice","Maharashtra","Kharif","1472600.00","1549200.00","1555300.00","1525390.00","1521410.00","3027665.60","3295148.40","3454321.30","3462635.30","3430034.06","2056.00","2127.00","2221.00","2270.00","2255.00"
"Rice","Maharashtra","Rabi","87970.00","102550.00","","","","263997.97","302932.70","","","","3001.00","2954.00","","",""
"Rice","Maharashtra","Summer","","","162800.00","167510.00","160740.00","","","444769.60","437368.61","436569.84","","","2732.00","2611.00","2716.00"
"Rice","Maharashtra","Total","1560570.00","1651750.00","1718100.00","1692900.00","1682150.00","3291663.57","3598081.10","3899090.90","3900003.91","3866603.90","2109.00","2178.00","2269.00","2304.00","2299.00"
"Rice","Manipur","Kharif","30770.00","5030.00","5730.00","5630.00","154610.00","78771.20","15130.24","17711.43","16721.10","361787.40","2560.00","3008.00","3091.00","2970.00","2340.00"
"Rice","Manipur","Rabi","195000.00","195000.00","","","","523380.00","552240.00","","","","2684.00","2832.00","","",""
"Rice","Manipur","Summer","","","180650.00","164660.00","14720.00","","","331492.75","330966.60","55641.60","","","1835.00","2010.00","3780.00"
"Rice","Manipur","Total","225770.00","200030.00","186380.00","170290.00","169330.00","602151.20","567370.24","349204.18","347687.70","417429.00","2667.00","2836.00","1874.00","2042.00","2465.00"
"Rice","Meghalaya","Kharif","93968.00","94833.00","95297.00","95300.00","95300.00","232758.74","234142.68","222327.90","207740.66","222334.90","2477.00","2469.00","2333.00","2180.00","2333.00"
"Rice","Meghalaya","Rabi","13629.00","13658.00","12475.00","12480.00","12480.00","63088.64","63181.91","56960.85","56983.68","56983.68","4629.00","4626.00","4566.00","4566.00","4566.00"
"Rice","Meghalaya","Total","107597.00","108491.00","107772.00","107780.00","107780.00","295847.38","297324.59","279288.75","264724.34","279318.58","2750.00","2741.00","2591.00","2456.00","2592.00"
"Rice","Mizoram","Kharif","34776.00","34414.00","33568.00","24291.00","20442.94","61205.76","59880.36","38558.44","38865.60","34855.21","1760.00","1740.00","1149.00","1600.00","1705.00"
"Rice","Mizoram","Rabi","470.00","493.00","503.00","504.00","223.00","981.83","989.94","663.96","1048.32","462.50","2089.00","2008.00","1320.00","2080.00","2074.00"
"Rice","Mizoram","Total","35246.00","34907.00","34071.00","24795.00","20665.94","62187.59","60870.30","39222.40","39913.92","35317.71","1764.00","1744.00","1151.00","1610.00","1709.00"
"Rice","Nagaland","Kharif","213000.00","121829.00","208295.00","208130.00","195890.00","356349.00","150215.16","364099.66","364366.25","339673.26","1673.00","1233.00","1748.00","1751.00","1734.00"
"Rice","Nagaland","Rabi","5810.00","250.00","2835.00","2300.00","1450.00","11039.00","450.00","5654.88","4596.93","2827.50","1900.00","1800.00","1995.00","1999.00","1950.00"
"Rice","Nagaland","Total","218810.00","122079.00","211130.00","210430.00","197340.00","367388.00","150665.16","369754.54","368963.18","342500.76","1679.00","1234.00","1751.00","1753.00","1736.00"
"Rice","Odisha","Kharif","3690140.00","3648430.00","3728660.00","3700737.00","3419305.00","7657040.50","8154241.05","7080725.34","7279349.68","8143587.75","2075.00","2235.00","1899.00","1967.00","2382.00"
"Rice","Odisha","Rabi","348100.00","299320.00","","","","1153255.30","1136518.04","","","","3313.00","3797.00","","",""
"Rice","Odisha","Summer","","","335510.00","371200.00","414540.00","","","1169084.60","1194892.80","1383734.52","","","3485.00","3219.00","3338.00"
"Rice","Odisha","Total","4038240.00","3947750.00","4064170.00","4071937.00","3833845.00","8810295.80","9290759.09","8249809.94","8474242.48","9527322.27","2182.00","2353.00","2030.00","2081.00","2485.00"
"Rice","Puducherry","Kharif","4318.00","4295.00","4259.00","4145.00","3256.00","14452.35","12696.02","14100.13","13023.59","9002.84","3347.00","2956.00","3311.00","3142.00","2765.00"
"Rice","Puducherry","Rabi","13829.00","14837.00","10352.00","10313.00","9053.00","35554.36","44392.30","32477.67","32372.51","22813.56","2571.00","2992.00","3137.00","3139.00","2520.00"
"Rice","Puducherry","Summer","","","5146.00","5113.00","4734.00","","","18707.43","15911.66","15234.01","","","3635.00","3112.00","3218.00"
"Rice","Puducherry","Total","18147.00","19132.00","19757.00","19571.00","17043.00","50006.71","57088.32","65285.23","61307.76","47050.41","2756.00","2984.00","3304.00","3133.00","2761.00"
"Rice","Punjab","Kharif","2928000.00","2969000.00","3098150.00","3179000.00","3243300.00","12783648.00","12885460.00","12990542.95","14356364.00","14360845.91","4366.00","4340.00","4193.00","4516.00","4428.00"
"Rice","Punjab","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Punjab","Total","2928000.00","2969000.00","3098150.00","3179000.00","3243300.00","12783648.00","12885460.00","12990542.95","14356364.00","14360845.91","4366.00","4340.00","4193.00","4516.00","4428.00"
"Rice","Rajasthan","Kharif","231472.00","196459.00","234313.00","267766.00","353887.00","634001.81","478574.12","577347.23","745996.08","917664.00","2739.00","2436.00","2464.00","2786.00","2593.00"
"Rice","Rajasthan","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Rajasthan","Total","231472.00","196459.00","234313.00","267766.00","353887.00","634001.81","478574.12","577347.23","745996.08","917664.00","2739.00","2436.00","2464.00","2786.00","2593.00"
"Rice","Sikkim","Kharif","8702.00","8612.00","8210.00","6379.00","6379.00","16194.42","16026.93","10191.35","7922.72","7922.72","1861.00","1861.00","1241.00","1242.00","1242.00"
"Rice","Sikkim","Rabi","","","","","","","0.00","","","","","","","",""
"Rice","Sikkim","Total","8702.00","8612.00","8210.00","6379.00","6379.00","16194.42","16026.93","10191.35","7922.72","7922.72","1861.00","1861.00","1241.00","1242.00","1242.00"
"Rice","Tamil Nadu","Kharif","1859659.59","2024334.85","692800.00","679760.00","664110.00","6136876.66","7050758.29","2512785.60","2089582.24","2241371.25","3300.00","3483.00","3627.00","3074.00","3375.00"
"Rice","Tamil Nadu","Rabi","176580.41","192935.15","1267860.00","1179340.00","1221080.00","744286.42","855860.31","4256206.02","3778605.36","3796337.72","4215.00","4436.00","3357.00","3204.00","3109.00"
"Rice","Tamil Nadu","Summer","","","198230.00","242500.00","272560.00","","","787964.25","930957.50","1055897.44","","","3975.00","3839.00","3874.00"
"Rice","Tamil Nadu","Total","2036240.00","2217270.00","2158890.00","2101600.00","2157750.00","6881163.07","7906618.61","7556955.87","6799145.10","7093606.41","3379.00","3566.00","3500.00","3235.00","3288.00"
"Rice","Telangana","Kharif","1800000.00","2374000.00","2540525.00","2574150.00","2487345.00","5439600.00","7834200.00","8886756.45","9344164.50","9053935.80","3022.00","3300.00","3498.00","3630.00","3640.00"
"Rice","Telangana","Rabi","1386400.00","1280900.00","2121550.00","2111000.00","2322100.00","4777534.40","4575374.80","6990507.25","7529937.00","8391744.31","3446.00","3572.00","3295.00","3567.00","3614.00"
"Rice","Telangana","Total","3186400.00","3654900.00","4662075.00","4685150.00","4809445.00","10217134.40","12409574.80","15877263.70","16874101.50","17445680.11","3206.00","3395.00","3406.00","3602.00","3627.00"
"Rice","Tripura","Kharif","198194.00","190704.00","179278.00","179280.00","162525.00","585266.88","585270.58","576916.60","576923.04","494563.58","2953.00","3069.00","3218.00","3218.00","3043.00"
"Rice","Tripura","Rabi","65599.00","65036.00","62511.00","62510.00","62055.00","217854.28","225674.92","211974.80","211971.41","220729.64","3321.00","3470.00","3391.00","3391.00","3557.00"
"Rice","Tripura","Total","263793.00","255740.00","241789.00","241790.00","224580.00","803121.16","810945.50","788891.40","788894.45","715293.22","3045.00","3171.00","3263.00","3263.00","3185.00"
"Rice","Uttar Pradesh","Kharif","5652000.00","5676000.00","5866500.00","5731685.00","7149987.50","15429960.00","15183300.00","16033144.50","15865304.08","20145089.78","2730.00","2675.00","2733.00","2768.00","2817.00"
"Rice","Uttar Pradesh","Rabi","26000.00","27000.00","","","","90064.00","88236.00","","","","3464.00","3268.00","","",""
"Rice","Uttar Pradesh","Summer","","","32000.00","36000.00","200000.00","","","110048.00","125064.00","613600.00","","","3439.00","3474.00","3068.00"
"Rice","Uttar Pradesh","Total","5678000.00","5703000.00","5898500.00","5767685.00","7349987.50","15520024.00","15271536.00","16143192.50","15990368.08","20758689.78","2733.00","2678.00","2737.00","2772.00","2824.00"
"Rice","Uttarakhand","Kharif","238000.00","233000.00","227000.00","220637.00","208623.00","657356.00","624440.00","556831.00","563065.62","556397.54","2762.00","2680.00","2453.00","2552.00","2667.00"
"Rice","Uttarakhand","Rabi","16000.00","24000.00","","","","57520.00","91608.00","","","","3595.00","3817.00","","",""
"Rice","Uttarakhand","Summer","","","22000.00","22747.00","7433.00","","","77572.00","81229.54","29144.79","","","3526.00","3571.00","3921.00"
"Rice","Uttarakhand","Total","254000.00","257000.00","249000.00","243384.00","216056.00","714876.00","716048.00","634403.00","644295.16","585542.33","2814.00","2786.00","2548.00","2647.00","2710.00"
"Rice","West Bengal","Kharif","4300078.00","4285535.00","3768780.00","3809140.00","4229567.00","11855315.05","12205203.68","10778710.80","10947468.36","11005756.29","2757.00","2848.00","2860.00","2874.00","2602.00"
"Rice","West Bengal","Rabi","1285551.00","1300218.00","","","","4669121.23","4523458.42","","","","3632.00","3479.00","","",""
"Rice","West Bengal","Summer","","","1296311.00","1310245.00","1362400.00","","","4705608.93","4739156.17","5013632.00","","","3630.00","3617.00","3680.00"
"Rice","West Bengal","Total","5585629.00","5585753.00","5065091.00","5119385.00","5591967.00","16524436.28","16728662.10","15484319.73","15686624.53","16019388.29","2958.00","2995.00","3057.00","3064.00","2865.00"
"Rice","All India","Kharif","40357972.72","41038406.28","40402881.65","40734169.10","43465657.64","105208136.02","111000786.37","110511561.12","113258768.29","122771900.48","2607.00","2705.00","2735.00","2780.00","2825.00"
"Rice","All India","Rabi","5410714.28","5240269.15","4328240.00","4076481.00","4473103.00","19160179.88","18470631.78","15003873.17","14600764.64","16128668.17","3541.00","3525.00","3467.00","3582.00","3606.00"
"Rice","All India","Summer","","","3100876.00","3017639.00","3327873.00","","","10239726.05","9965043.09","11283690.90","","","3302.00","3302.00","3391.00"
"Rice","All India","Total","45768687.00","46278675.43","47831997.65","47828289.10","51266633.64","124368315.90","129471418.15","135755160.34","137824576.01","150184259.55","2717.00","2798.00","2838.00","2882.00","2929.00"
"Wheat","Andaman And Nicobar Islands","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Andaman And Nicobar Islands","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Andhra Pradesh","Rabi","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Wheat","Andhra Pradesh","Total","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Wheat","Arunachal Pradesh","Rabi","3930.00","4010.00","4018.00","3520.00","3042.00","7742.10","7915.74","7943.59","6948.48","6007.95","1970.00","1974.00","1977.00","1974.00","1975.00"
"Wheat","Arunachal Pradesh","Total","3930.00","4010.00","4018.00","3520.00","3042.00","7742.10","7915.74","7943.59","6948.48","6007.95","1970.00","1974.00","1977.00","1974.00","1975.00"
"Wheat","Assam","Rabi","9342.00","9117.00","9000.00","9360.00","8933.00","12882.62","11378.02","11898.00","13422.24","12050.62","1379.00","1248.00","1322.00","1434.00","1349.00"
"Wheat","Assam","Total","9342.00","9117.00","9000.00","9360.00","8933.00","12882.62","11378.02","11898.00","13422.24","12050.62","1379.00","1248.00","1322.00","1434.00","1349.00"
"Wheat","Bihar","Rabi","2222503.00","2238765.00","2199496.00","2275578.00","2286165.00","6149665.80","6223766.70","6506109.17","7168070.70","7189074.46","2767.00","2780.00","2958.00","3150.00","3145.00"
"Wheat","Bihar","Total","2222503.00","2238765.00","2199496.00","2275578.00","2286165.00","6149665.80","6223766.70","6506109.17","7168070.70","7189074.46","2767.00","2780.00","2958.00","3150.00","3145.00"
"Wheat","Chandigarh","Rabi","546.00","547.00","574.00","547.00","547.00","2457.00","2735.00","2695.22","2735.00","2735.00","4500.00","5000.00","4696.00","5000.00","5000.00"
"Wheat","Chandigarh","Total","546.00","547.00","574.00","547.00","547.00","2457.00","2735.00","2695.22","2735.00","2735.00","4500.00","5000.00","4696.00","5000.00","5000.00"
"Wheat","Chhattisgarh","Rabi","160130.00","156120.00","132860.00","134240.00","146920.00","248361.63","191871.48","189591.22","181224.00","234925.08","1551.00","1229.00","1427.00","1350.00","1599.00"
"Wheat","Chhattisgarh","Total","160130.00","156120.00","132860.00","134240.00","146920.00","248361.63","191871.48","189591.22","181224.00","234925.08","1551.00","1229.00","1427.00","1350.00","1599.00"
"Wheat","Dadra And Nagar Haveli","Rabi","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Wheat","Dadra And Nagar Haveli","Total","0.00","0.00","","","","0.00","0.00","","","","0.00","0.00","","",""
"Wheat","Daman And Diu","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Daman And Diu","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Delhi","Rabi","19180.00","18090.00","17350.00","17250.00","17180.00","83624.80","81405.00","80677.50","80212.50","79887.00","4360.00","4500.00","4650.00","4650.00","4650.00"
"Wheat","Delhi","Total","19180.00","18090.00","17350.00","17250.00","17180.00","83624.80","81405.00","80677.50","80212.50","79887.00","4360.00","4500.00","4650.00","4650.00","4650.00"
"Wheat","Goa","Rabi","","","","","","","0.00","","","","","","","",""
"Wheat","Goa","Total","","","","","","","0.00","","","","","","","",""
"Wheat","Gujarat","Rabi","1017000.00","1040000.00","1066568.00","1246410.00","1281624.00","3259485.00","3333200.00","3464212.86","3773157.28","3867172.26","3205.00","3205.00","3248.00","3027.00","3017.00"
"Wheat","Gujarat","Total","1017000.00","1040000.00","1066568.00","1246410.00","1281624.00","3259485.00","3333200.00","3464212.86","3773157.28","3867172.26","3205.00","3205.00","3248.00","3027.00","3017.00"
"Wheat","Haryana","Rabi","2564000.00","2304700.00","2323320.00","2369525.00","2388110.00","12394376.00","10447205.10","10928897.28","11191266.58","11399881.90","4834.00","4533.00","4704.00","4723.00","4774.00"
"Wheat","Haryana","Total","2564000.00","2304700.00","2323320.00","2369525.00","2388110.00","12394376.00","10447205.10","10928897.28","11191266.58","11399881.90","4834.00","4533.00","4704.00","4723.00","4774.00"
"Wheat","Himachal Pradesh","Rabi","333148.00","320219.00","319480.00","316835.00","307171.00","570349.38","548855.37","591996.44","785750.80","651202.52","1712.00","1714.00","1853.00","2480.00","2120.00"
"Wheat","Himachal Pradesh","Total","333148.00","320219.00","319480.00","316835.00","307171.00","570349.38","548855.37","591996.44","785750.80","651202.52","1712.00","1714.00","1853.00","2480.00","2120.00"
"Wheat","Jammu And Kashmir","Rabi","243754.00","282775.00","284468.00","284468.00","284468.00","483851.69","584213.15","586573.02","586573.02","586573.02","1985.00","2066.00","2062.00","2062.00","2062.00"
"Wheat","Jammu And Kashmir","Total","243754.00","282775.00","284468.00","284468.00","284468.00","483851.69","584213.15","586573.02","586573.02","586573.02","1985.00","2066.00","2062.00","2062.00","2062.00"
"Wheat","Jharkhand","Rabi","232762.00","227558.00","204399.00","227992.00","249766.00","543964.79","519287.36","438640.25","481063.12","549734.97","2337.00","2282.00","2146.00","2110.00","2201.00"
"Wheat","Jharkhand","Total","232762.00","227558.00","204399.00","227992.00","249766.00","543964.79","519287.36","438640.25","481063.12","549734.97","2337.00","2282.00","2146.00","2110.00","2201.00"
"Wheat","Karnataka","Rabi","203000.00","165000.00","146000.00","145000.00","163000.00","262073.00","212355.00","200458.00","189805.00","204565.00","1291.00","1287.00","1373.00","1309.00","1255.00"
"Wheat","Karnataka","Total","203000.00","165000.00","146000.00","145000.00","163000.00","262073.00","212355.00","200458.00","189805.00","204565.00","1291.00","1287.00","1373.00","1309.00","1255.00"
"Wheat","Kerala","Rabi","","1.00","","","","","1.00","","","","","1000.00","","",""
"Wheat","Kerala","Total","","1.00","","","","","1.00","","","","","1000.00","","",""
"Wheat","Ladakh","Rabi","4484.00","4399.05","4463.05","4460.00","4700.00","7174.40","7038.48","6931.12","6926.38","8605.70","1600.00","1600.00","1553.00","1553.00","1831.00"
"Wheat","Ladakh","Total","4484.00","4399.05","4463.05","4460.00","4700.00","7174.40","7038.48","6931.12","6926.38","8605.70","1600.00","1600.00","1553.00","1553.00","1831.00"
"Wheat","Lakshadweep","Rabi","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Lakshadweep","Total","","0.00","","","","","0.00","","","","","0.00","","",""
"Wheat","Madhya Pradesh","Rabi","6083000.00","6500000.00","7150000.00","7497000.00","7748688.00","18182087.00","22977500.00","22729850.00","22580964.00","24509100.00","2989.00","3535.00","3179.00","3012.00","3163.00"
